 enable_debug_mode 
-------------------
                 0
(1 row)

Timing is on.
 c_custkey |       c_name       |    revenue    |   c_acctbal   |     n_name     |                c_address                 |     c_phone     |                                                      c_comment                                                       
      1192 | Customer#000001192 | 73205.000000  | 6252.000000   | SAUDI ARABIA   | 8DbtM3KloBZ4OO1dRrF99                    | 30-904-936-4914 | efully final packages use. slyly pend
      1036 | Customer#000001036 | 71531.000000  | 0.000000      | INDIA          | fxujgj8DOFO6oKrH                         | 18-791-577-7691 | ins sleep. slyly express platelets cajol
       334 | Customer#000000334 | 70034.000000  | 0.000000      | EGYPT          | OPN1N7t4aQ23TnCpc                        | 14-947-291-5002 | fully busily special ideas. carefully final excuses lose slyly carefully express accounts. even, ironic platelets ar
       184 | Customer#000000184 | 68457.000000  | 0.000000      | VIETNAM        | uoOpBuRr42f1WIqnVYAhxbAA9bkK6HUGpOt      | 31-739-340-5476 | hely according to the furiously unusual accounts. furiously bold platele
      1427 | Customer#000001427 | 66771.000000  | 0.000000      | IRAQ           | dDsmiig0T4oFKaf9ttFeh1etLvSIc9aV1xF2H    | 21-941-208-2485 | es detect accounts. slyly bold theodolites wake ironic, special accounts. instructions cajo
       286 | Customer#000000286 | 66172.000000  | 0.000000      | RUSSIA         | 7 7uVDrpkWuozyEd                         | 32-274-308-4633 | ly special accounts haggle slyly slyly fluffy req
      1129 | Customer#000001129 | 63221.000000  | 1.000000      | INDIA          | OMEqYv,hhyBAObDjIkoPL03BvuSRw02AuDPVoe   | 18-313-585-9420 | pades affix realms. pending courts haggle slowly fluffily final requests. quickly silent deposits are. iro
      1285 | Customer#000001285 | 62755.000000  | 0.000000      | ROMANIA        | 5Hy,ajDzJPtZFeJedRSeLN7XGOJtyUy2FI93     | 29-424-835-1463 | ly bold ideas affix blithely about the slyly even pinto beans. slyly regular multip
      1283 | Customer#000001283 | 59303.000000  | 0.000000      | ALGERIA        | 6JeLWEtDERPB,0KzWB,I6Xs8rJXAC8ryFulW5NPC | 10-203-771-2219 |  blithely daringly final theodolites. foxes ha
       908 | Customer#000000908 | 59072.000000  | 0.000000      | JAPAN          | Fa5bchMKUMsaNKOXAiu9pX  ME               | 22-814-669-9320 | quickly express packages. blithely fina
       965 | Customer#000000965 | 58897.000000  | 0.000000      | BRAZIL         | UigBc,9d1iLtQAVatnWACSDc9mNx0mYl         | 12-893-735-6415 | lly enticing pinto beans haggle requests. evenly express grouch
      1267 | Customer#000001267 | 57937.000000  | 0.000000      | UNITED STATES  | o3dtauyIeWwFRok2whWam0MLjmOdlG1H         | 34-329-328-2500 |  accounts nag fluffily blithely ironic pinto beans. carefully pending deposits dazzle along
       164 | Customer#000000164 | 57866.000000  | 0.000000      | EGYPT          | YDW51PBWLXLnbQlKC                        | 14-565-638-9768 | ironic, special pinto beans. ironic
      1249 | Customer#000001249 | 56855.000000  | 0.000000      | GERMANY        | x9ukZnNiUM5pBPXyE3epagewVQBPZzxGYD6sMH   | 17-866-269-1165 |  the ironic packages sleep carefully express theodolites. even, final deposits across the even deposits nag after t
       967 | Customer#000000967 | 55970.000000  | 50180.000000  | UNITED KINGDOM | xKdAl6HSWvAmptzHgQHX3cMmxZDhfyrMqx       | 33-687-917-3598 | iously quickly silent ideas. blithely pending pinto beans except t
       893 | Customer#000000893 | 55712.000000  | 0.000000      | JORDAN         | W6m7LofOZoik72ku                         | 23-827-724-6816 | ets. ironic instructions nag even, regular courts. slyly iro
        79 | Customer#000000079 | 55137.000000  | 1.000000      | MOROCCO        | n5hH2ftkVRwW8idtD,BmM2                   | 25-147-850-4166 | es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re
      1355 | Customer#000001355 | 55121.000000  | 0.000000      | SAUDI ARABIA   | c1r6G98ixzLQkvUV2KphsFwhYvpDo18oToGB     | 30-918-883-1662 | anent dependencies are blithely above the quickly silent escapades. requests sleep. final foxes sleep slyl
       331 | Customer#000000331 | 55019.000000  | 52848.000000  | ETHIOPIA       | Ug e2IBbl,LJuqjNz5XeQV                   | 15-411-430-7917 | r the silent ideas. carefully ironic deposits was carefully above the furiously even excuses. evenly regu
       952 | Customer#000000952 | 54559.000000  | 0.000000      | UNITED STATES  | jg0YsHARdoULvVtP2vGHLVoAfWKFNz6QdTeAi    | 34-527-524-9172 | slyly regular ideas. even theodolite
      1025 | Customer#000001025 | 53439.000000  | 0.000000      | INDIA          | 3T2A1uo8mCqTeO LTW8atjLBLO12nh6lyl       | 18-588-456-4616 | to beans sleep according to the fluffily regular instructions. 
       256 | Customer#000000256 | 52848.000000  | 0.000000      | IRAN           | eJ6AggYh80JMEzZNwYK4CIC2flT              | 20-229-271-4429 | ld boost about the carefully ironic foxes. slyly special packages cajole alongside of the slyly final accounts. q
      1045 | Customer#000001045 | 50238.000000  | 0.000000      | SAUDI ARABIA   | clvGUnQPLbzX 23hemPp24WS1MEtS4z          | 30-120-992-2121 | r deposits cajole blithely along the quickly silent pattern
       646 | Customer#000000646 | 50180.000000  | 1.000000      | BRAZIL         | gogI8kweD 2H6U,01lbIp0UWUwljSue,KRcC     | 12-177-329-4316 | ptotes. silent requests cajole fluffily along the slyly permanent ideas. pending instr
      1040 | Customer#000001040 | 48432.000000  | 0.000000      | IRAQ           | vbJmdHe6U9Pl                             | 21-756-109-1482 | old requests wake slyly! slyly special deposits cajole above the unusua
       472 | Customer#000000472 | 47784.000000  | 0.000000      | JAPAN          | hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4      | 22-940-478-1933 | deas sleep slyly blithely final foxes. slyly final e
       418 | Customer#000000418 | 46801.000000  | 0.000000      | ETHIOPIA       | ,e0q82drO rgVHXHrJRQ0GDrRoUOl            | 15-826-508-1218 | d foxes against the furiously special packages snooze blithely quickly 
      1489 | Customer#000001489 | 46526.000000  | 0.000000      | INDONESIA      | yM8biIU5IFKHODCGTCwdkUf                  | 19-906-669-4354 | ckages play carefully? permanently regular pinto beans
       505 | Customer#000000505 | 46425.000000  | 0.000000      | BRAZIL         | MAUkwAyEvg61RlCMomspMs0WzYa,Ns           | 12-530-647-8313 | mptotes haggle around the theodolites. furiously bold accounts detect quickly packages. special pinto beans 
       949 | Customer#000000949 | 45711.000000  | 0.000000      | BRAZIL         | tOBbBIfhWM lNI3YxTYH8Or8Ki               | 12-391-316-1861 | pecial, pending dolphins. slyly final ideas boost quickly. carefull
      1226 | Customer#000001226 | 45336.000000  | 14667.000000  | ALGERIA        | HKR1zog fXW                              | 10-251-221-9440 | ns. furiously pending packages hinder special accounts. sl
      1258 | Customer#000001258 | 45172.000000  | 1.000000      | CANADA         | zK3TKgKVuFCBdjt                          | 13-727-588-7092 | ove the carefully ironic asymptotes. quickly final Tiresias wake regular packages. s
      1459 | Customer#000001459 | 44786.000000  | 0.000000      | IRAQ           | 2sPwjFNEFf9dN4az                         | 21-424-586-6295 | ounts use blithely. blithely pending packages use ironic deposits. final accounts boost slyly. care
       776 | Customer#000000776 | 43694.000000  | 2180.000000   | MOROCCO        | rzhIStRHsiWoc6K,7yv3YMqVdrz              | 25-941-650-8313 |  express accounts. furiously ironic theodolites serve blithely. blithely thin packages are among the eve
       355 | Customer#000000355 | 43270.000000  | 0.000000      | KENYA          | 205r3Xg9ZWjPZNX1z                        | 24-656-787-6091 | ly bold requests detect furiously. unusual instructions sleep aft
       743 | Customer#000000743 | 42444.000000  | 0.000000      | SAUDI ARABIA   | WJ  lVLsFSgZJCHHLqwRmvCjWvYlCs0c2TvO     | 30-743-559-7934 | ptotes. furiously even accounts haggle slyly. ironic foxes sl
       226 | Customer#000000226 | 42137.000000  | 0.000000      | CANADA         | ToEmqB90fM TkLqyEgX8MJ8T8NkK             | 13-452-318-7709 | ic packages. ideas cajole furiously slyly special theodolites: carefully express pinto beans acco
      1219 | Customer#000001219 | 39058.000000  | 0.000000      | EGYPT          | kP1xK5be a8tW5JRSq0nwJWgKbO              | 14-364-661-8744 |  the quickly even packages wake fur
       755 | Customer#000000755 | 38536.000000  | 0.000000      | MOZAMBIQUE     | F2YYbRT2EV                               | 26-395-247-2207 | xpress instructions breach; pending request
       550 | Customer#000000550 | 38282.000000  | 0.000000      | PERU           | q5 gKwc7PBQOyd,H                         | 27-938-997-6262 | ully regular deposits. slyly ironic requests wake along the depos
       745 | Customer#000000745 | 37215.000000  | 0.000000      | CHINA          | vjuHvDKdaomsivy l                        | 28-913-438-9403 | o beans. bold, regular theodolites haggle carefully about the quickl
       800 | Customer#000000800 | 37167.000000  | 0.000000      | KENYA          | mpI6pkdnWLZsBbQi4,uUC5Y3TcM9vmRIgZelrQ   | 24-555-630-2261 | ly alongside of the carefully ironic deposits. blithely ironic packages are blithely agains
      1453 | Customer#000001453 | 36008.000000  | 0.000000      | ALGERIA        | FTfWkW1 8jVgOIIR9sMm2HpohiuR1v2278       | 10-852-397-3642 |  to wake above the blithely regular foxes. d
       599 | Customer#000000599 | 35312.000000  | 67216.000000  | EGYPT          | fIvpza0tlXAVjOAPkWN5,DiU0DO4e5NkfgOlXpDI | 14-916-825-6916 | thely even requests wake carefully regular theodolites. instructions haggle alongside of the f
       850 | Customer#000000850 | 35005.000000  | 0.000000      | RUSSIA         | GdhPVh9rkPqSt v17ZuxIlx8c1N8G            | 32-546-203-4000 | ly ironic accounts whithout the regular waters are blithely abo
       449 | Customer#000000449 | 33437.000000  | 0.000000      | EGYPT          | DiUXazp8EYcJFsX2a7nciEpo9W5BRB4iqdb9HWL  | 14-893-381-6454 | posits boost slyly carefully regular requests. final, bold fo
       625 | Customer#000000625 | 33173.000000  | 0.000000      | JORDAN         | uvgDE6eQ2bJp4BkHyVdpYYC8                 | 23-789-801-2873 | , pending deposits. sly theodolites along the carefully unusual
      1342 | Customer#000001342 | 33035.000000  | 1.000000      | MOZAMBIQUE     | FD6UNqfsYMKkf3ZFZdI4EaYMZ                | 26-340-733-2096 | y around the final, special foxes. 
       227 | Customer#000000227 | 33028.000000  | 0.000000      | JORDAN         | 7wlpEBswtXBPNODASgCUt8OZQ                | 23-951-816-2439 | lar, ironic pinto beans use! quickly regular theodolites maintain slyly pending pac
       593 | Customer#000000593 | 31921.000000  | 0.000000      | INDONESIA      | SYyEL2nytJXBbFemMseCiivA32USVEDbvGzZS    | 19-621-217-1535 | ve the regular, ironic deposits. requests along the special, regular theodolites lose furi
       682 | Customer#000000682 | 31252.000000  | 30545.000000  | MOROCCO        | y5J0HJVI6Mb k4rXTAPbxE9aw                | 25-233-924-7389 | he bold, even accounts breach
       484 | Customer#000000484 | 30545.000000  | 0.000000      | SAUDI ARABIA   | ismzlUzrqRMRGWmCEUUjkBsi                 | 30-777-953-8902 | y against the express, even packages. blithely pending pearls haggle furiously above the fur
      1246 | Customer#000001246 | 30376.000000  | 0.000000      | EGYPT          | acguUq5BISzqjHB7Bt                       | 14-882-141-9354 | haggle furiously. blithely regular patterns sleep quickly slyly even
       778 | Customer#000000778 | 29291.000000  | 36102.000000  | UNITED KINGDOM | tCuRA2W9y5iiGrcT7a4TzK                   | 33-702-179-3134 | hely ironic instructions. regular, ironic requests affix along the carefully 
       883 | Customer#000000883 | 28624.000000  | 35312.000000  | CANADA         | qVQ8rWNU5KZYDcS                          | 13-526-239-6950 | uctions are carefully across the regular, regular asymptote
      1004 | Customer#000001004 | 27921.000000  | 0.000000      | INDIA          | mBaNGEJoY2tgXD60V2DEO ajjoM3Zd,Jp        | 18-676-152-4849 | ainst the ideas nag fluffily according to 
       322 | Customer#000000322 | 27370.000000  | 46225.000000  | SAUDI ARABIA   | bWRyCyjH5OfGX                            | 30-660-202-7517 | usual sauternes are among the slyly even instructions! thinly regular 
       481 | Customer#000000481 | 26289.000000  | 0.000000      | VIETNAM        | o4xa7J20NqHM8E0ykH,NKe1gPz04OqIn         | 31-363-392-6461 | s can nag slyly instructions. regular, regular asymptotes haggle sly
      1486 | Customer#000001486 | 23019.000000  | 0.000000      | UNITED STATES  | 7A2MhrNtsA                               | 34-559-605-2237 | lithely ironic dependencies haggle quickly b
       106 | Customer#000000106 | 21208.000000  | 0.000000      | ARGENTINA      | xGCOEAUjUNG                              | 11-751-989-4627 | lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts. 
      1082 | Customer#000001082 | 20256.000000  | 1.000000      | ETHIOPIA       | vMX52A1zqDbGNzjfSzgsxSVU0GU6iFmrgiUE     | 15-646-384-2302 | ly. blithely final packages wake silent ideas. express, special theodo
       913 | Customer#000000913 | 19975.000000  | 0.000000      | KENYA          | aohNRUjsMbBNE1Ax                         | 24-500-946-3315 | y blithely final dugouts. accounts wake accounts. asymptotes above the even 
         1 | Customer#000000001 | 19554.000000  | 0.000000      | MOROCCO        | IVhzIApeRb ot,c,E                        | 25-989-741-2988 | to the even, regular platelets. regular, ironic epitaphs nag e
      1420 | Customer#000001420 | 18962.000000  | 0.000000      | INDONESIA      | mjkRUOEzdCWpNdpp5PKOObMmhpufeNGnO1VFdbpK | 19-433-305-7356 | the instructions cajole carefully. slyly final requests nag carefully ac
       130 | Customer#000000130 | 18440.000000  | 0.000000      | INDONESIA      | RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH       | 19-190-993-9281 | ix slowly. express packages along the furiously ironic requests integrate daringly deposits. fur
       251 | Customer#000000251 | 18369.000000  | 0.000000      | JORDAN         | Z9fdQmv07C3k hxwt9nchhuQiqC4wox85se8EW7L | 23-975-623-5949 | fully blithely regular requests. fluffily even dugouts detect furiously final ideas. sometimes ironic depos
       491 | Customer#000000491 | 17995.000000  | 0.000000      | ALGERIA        | r3zPOuenxHl0oqInxWlEyLP1ZH               | 10-856-259-7548 |  slyly special requests hang dogged, express epitaphs.
       121 | Customer#000000121 | 17546.000000  | 0.000000      | PERU           | tv nCR2YKupGN73mQudO                     | 27-411-990-2959 | uriously stealthy ideas. carefully final courts use carefully
       820 | Customer#000000820 | 17519.000000  | 0.000000      | EGYPT          | xsYy3Nu7RhNYyBqL8dD0fONh                 | 14-993-368-5047 | g, final ideas. slyly ironic packages dazz
      1418 | Customer#000001418 | 16930.000000  | 0.000000      | PERU           | S5uBtE hDxHcHunowPDXKSxP3csMFnhYt        | 27-773-818-3164 | ggle quickly blithely thin excuses. final, even accounts integrate slyly. carefully pending account
       427 | Customer#000000427 | 16793.000000  | 0.000000      | BRAZIL         | LHzXa71U2AGqfbqj1yYYqw2MEXq99dWmY        | 12-124-309-3821 | y even multipliers according to the regu
      1130 | Customer#000001130 | 15826.000000  | 42444.000000  | RUSSIA         | 60zzrBpFXjvHzyv0WObH3h8LhYbOaRID58e      | 32-503-721-8203 | s requests nag silently carefully special warhorses. special accounts hinder slyly. fluffily enticing
       536 | Customer#000000536 | 15438.000000  | 0.000000      | JAPAN          | jf8PSOQDvqQj4uF8                         | 22-521-348-9030 | tes? blithely enticing theodolites wake. braids sleep. sly
      1396 | Customer#000001396 | 14811.000000  | 0.000000      | CANADA         | M4dHuyrttFfeBr                           | 13-523-516-9742 |  the even theodolites integrate fluffily regular dolphins. blithely 
       806 | Customer#000000806 | 14667.000000  | 0.000000      | JAPAN          | FTM62Dujm2BoblKFY w                      | 22-888-883-2475 | the carefully regular accounts breach above 
      1150 | Customer#000001150 | 14351.000000  | 0.000000      | VIETNAM        | fUJqzdkQg1                               | 31-236-665-8430 | usly final dolphins. fluffily bold platelets sleep. slyly unusual attainments lo
       940 | Customer#000000940 | 13863.000000  | 0.000000      | ROMANIA        | T7ROXBXdajS,vkwy3VuC8wNvA                | 29-958-573-1004 | ent accounts. slyly even accounts breach across the dolphins. quickly regular pains dazzle carefully. sl
       604 | Customer#000000604 | 13144.000000  | 0.000000      | VIETNAM        | qCQsFELZ3W hlmi,zOHBcZGo0PZl3jbFu1jsijqE | 31-757-951-9827 | le furiously express instructions. ideas hag
       341 | Customer#000000341 | 11751.000000  | 0.000000      | INDONESIA      | 4,zQfld2YV9TSeNgCSOvqlxhJvVW8WD          | 19-870-813-8585 | low, special platelets alongside of the even, bold theodolites are carefully 
      1460 | Customer#000001460 | 11478.000000  | 0.000000      | SAUDI ARABIA   | AEgBZGLmuMqe7Gqh1                        | 30-151-388-7118 | accounts. ironic packages cajole furiously; quickly pending requests lose quickly carefully bold deposits. 
      1015 | Customer#000001015 | 11334.000000  | 0.000000      | IRAN           | RDJWEmcAk4GC8OT8WCsXB                    | 20-134-926-5391 | g courts nag daringly brave pains. blithely special deposits use blithely carefully c
       433 | Customer#000000433 | 10949.000000  | 0.000000      | SAUDI ARABIA   | 7XFuE4 euQR0w                            | 30-659-445-3595 | sual ideas affix carefully always regular accou
       644 | Customer#000000644 | 9830.000000   | 0.000000      | CHINA          | bfZrdZE0QHtMc,ksudO                      | 28-489-845-4801 | ke slyly alongside of the silent, even req
      1378 | Customer#000001378 | 8982.000000   | 0.000000      | PERU           | zDULZOX6KrHF6aL1AMsIg0Ivv4Crz            | 27-806-173-2824 | ges haggle slyly alongside of the furiously final excuses. carefully regular foxes boost across the regular, ex
        43 | Customer#000000043 | 8345.000000   | 0.000000      | ROMANIA        | ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd        | 29-316-665-2897 | ial requests: carefully pending foxes detect quickly. carefully final courts cajole quickly. carefully
      1057 | Customer#000001057 | 8336.000000   | 0.000000      | UNITED STATES  | xyV8 FbW4xS,JhkxC0dY527tzcMKxM           | 34-750-735-1314 | s. furiously ironic deposits against the carefully bold accounts wake carefully even deposits. fluffily even
      1336 | Customer#000001336 | 7471.000000   | 0.000000      | MOZAMBIQUE     | E4MeTLnSTIOlWkLDwmG7QPf 9Dq              | 26-350-110-5043 | ts after the deposits are quickly deposits! blithely regular theodolites integrate above the slyly pending 
      1210 | Customer#000001210 | 7288.000000   | 0.000000      | MOZAMBIQUE     | bUTLW1KIHzzQkuOEwUMwEGCQfTQM7aBmUM0      | 26-202-315-9048 | luffily ironic accounts haggle about the regular theod
       731 | Customer#000000731 | 7072.000000   | 0.000000      | GERMANY        | D0ceqTVRO3EctrC                          | 17-731-915-9753 | lar dolphins are carefully slyly final theodolites. unusual accounts integrate across the regular, final deposit
       785 | Customer#000000785 | 6252.000000   | 0.000000      | CHINA          | gEkI8kSq8RYgO6tiTA0AB7urZX8s2w03JGwtMi9  | 28-808-670-2983 | nal theodolites. dogged, ironic deposits wake carefully. slyly regular requests after the furiously ironic 
        41 | Customer#000000041 | 2865.000000   | 0.000000      | IRAN           | IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF          | 20-917-711-4011 | ly regular accounts hang bold, silent packages. unusual foxes haggle slyly above the special, final depo
      1360 | Customer#000001360 | 2398.000000   | 0.000000      | ROMANIA        | xeaT6W6D569UKCKU86iK9b6aUanlra           | 29-574-552-4018 | nt packages affix quickly furiously regular foxes; quickly 
      1060 | Customer#000001060 | 1052.000000   | 0.000000      | INDIA          | aWJkU6JJJOvgaKPOAJJc                     | 18-290-794-6133 | ter the bold, regular ideas! deposits eat. daringly unusual theodolites sleep alongside of the regular, fina
       548 | Customer#000000548 | 0.000000      | 0.000000      | EGYPT          | 98nP31ToAGK tCCkYm7HqBZt0dLjy0JzlMMRCmkj | 14-787-370-8722 | c pinto beans. quickly even requests haggle against the blithel
       556 | Customer#000000556 | 0.000000      | 0.000000      | ARGENTINA      | UMHllVkuyQUQ3aLXCVRxrXatsyd0AL6Xw        | 11-934-412-5846 | nt excuses! carefully final requests solve quick
       563 | Customer#000000563 | 0.000000      | 0.000000      | JAPAN          | 2RSC1g7cVd,j23HusdkhdCGmiiE              | 22-544-152-1215 |  pinto beans believe fluffily. excuses wake blithely silent requests. b
       568 | Customer#000000568 | 0.000000      | 0.000000      | JORDAN         | ZddVCnzeABTTBgV3GvkvNtw9,KOHHpME2GELhz   | 23-603-795-8611 | gular decoys haggle slyly. blithely special packages slee
       571 | Customer#000000571 | 0.000000      | 0.000000      | BRAZIL         | hCrDDrMzGhsa6,5K4rGXQ                    | 12-115-414-4819 | le fluffily. ironic, pending accounts poach quickly iron
       577 | Customer#000000577 | 0.000000      | 0.000000      | KENYA          | a73SSq2cip7C8nSzdmmscpZyLCZ7KL           | 24-662-826-1317 | int furiously. slyly express pin
       581 | Customer#000000581 | 0.000000      | 16793.000000  | UNITED STATES  | s9SoN9XeVuCri                            | 34-415-978-2518 | ns. quickly regular pinto beans must sleep fluffily 
       583 | Customer#000000583 | 0.000000      | 0.000000      | JORDAN         | V3i6Gu9,LZtvdnNppXnI2eKQFx0b36WvL,F      | 23-234-625-4041 |  haggle. regular, regular accounts hinder carefully i
       584 | Customer#000000584 | 0.000000      | 0.000000      | MOROCCO        | jebKvptmHtS9,YE1qOjl2AOw38P,8skngJZh     | 25-352-778-1041 | ages boost regular deposits. blithely stealthy depo
       598 | Customer#000000598 | 0.000000      | 1.000000      | INDONESIA      | 9ICLFWFZa6                               | 19-113-384-3847 | es. furiously pending packages haggle fluffily carefully silent foxes. carefully unusual dependencies boost fu
       601 | Customer#000000601 | 0.000000      | 0.000000      | ARGENTINA      | P3 Dv,6yllTNmL9yt6NUZZPZjvM2coWJd        | 11-104-635-9839 | ly according to the unusual foxes. carefully ironic accounts haggle accounts-- regular dolphins will integ
       607 | Customer#000000607 | 0.000000      | 0.000000      | UNITED STATES  | m61hvYPASIGmNJx7Tu                       | 34-601-151-4029 | ymptotes. blithely bold requests shall are about the furiously final platelets.
       610 | Customer#000000610 | 0.000000      | 0.000000      | IRAQ           | Fo8RfPq1kgzD 0                           | 21-782-663-7023 | uriously final deposits against the deposits detect alongsi
       623 | Customer#000000623 | 0.000000      | 0.000000      | INDONESIA      | HXiFb9oWlgqZXrJPUCEJ6zZIPxAM4m6          | 19-113-202-7085 |  requests. dolphins above the busily regular dependencies cajole after
       626 | Customer#000000626 | 0.000000      | 0.000000      | ETHIOPIA       | PDeE61VY2Q96efuewIZ                      | 15-540-121-5663 | t brave foxes. slyly pending packages wake furiously along the deposits. carefully pendin
       637 | Customer#000000637 | 0.000000      | 0.000000      | GERMANY        | Ey7g4q2oH Q1vs                           | 17-983-923-8985 | ly furiously even accounts: final, unusual Tiresias do snooze theodolites. slyly regular dependenci
       643 | Customer#000000643 | 0.000000      | 0.000000      | ALGERIA        | 9T 2avhfyF PQ                            | 10-978-597-2747 | fily along the quickly ironic ideas. final, final
       655 | Customer#000000655 | 0.000000      | 0.000000      | KENYA          | SceikyyffYL5OUI8rFnAgrT5E                | 24-916-820-5158 | e accounts. unusual, pending platelets are quickly. req
       658 | Customer#000000658 | 0.000000      | 0.000000      | ARGENTINA      | 9SboxGtXimmJg49IyT3Zt                    | 11-675-750-9832 | r ideas about the slyly ironic theodolites integrate according to 
       661 | Customer#000000661 | 0.000000      | 0.000000      | EGYPT          | 1MqWuuRVM5y5NlT1kakwke                   | 14-983-203-6472 |  regular theodolites. brave platelets
       667 | Customer#000000667 | 0.000000      | 0.000000      | FRANCE         | oQqeEC,OD9XC1JXyOsHqcpv0fPUdP9ek5KKb70tQ | 16-917-453-2490 | lithely about the furiously sil
       668 | Customer#000000668 | 0.000000      | 0.000000      | MOROCCO        | PCmw0r6KkLjXZsljablJ                     | 25-582-501-2346 | uffy excuses are carefully regular, ironic pinto
       671 | Customer#000000671 | 0.000000      | 0.000000      | VIETNAM        | ic6qGrt0giB,HDEiBK,,FYGHXQpc             | 31-593-213-9388 | bold ideas above the ironic packages affix blithely about the furiou
       676 | Customer#000000676 | 0.000000      | 21136.000000  | UNITED STATES  | JzJnD kA3KTjTYl                          | 34-710-820-8362 | es. slyly even theodolites across the slyly ironic accounts nag from the slyly even accounts. accounts are. 
       679 | Customer#000000679 | 0.000000      | 30545.000000  | IRAN           | IJf1FlZL9I9m,rvofcoKy5pRUOjUQV           | 20-146-696-9508 | ely pending frays boost carefully
       686 | Customer#000000686 | 0.000000      | 0.000000      | FRANCE         | 1j C80VWHe ITCVCV                        | 16-682-293-3599 |  even deposits print quickly. foxes wake. furiously ironic asymptotes across the bold foxes
       689 | Customer#000000689 | 0.000000      | 0.000000      | UNITED STATES  | Gcie9Q,Wc6J0QvKcefqflajjOtOVchnxqBn9     | 34-325-146-3591 | ions. furiously unusual platelets cajole blithely. caref
       691 | Customer#000000691 | 0.000000      | 17995.000000  | MOZAMBIQUE     | 0RkDX6OLU1hISYCLmdLD C                   | 26-741-688-4189 | p. ironic, regular foxes against the ironic, special theodolites nod carefully quietly unusu
       697 | Customer#000000697 | 0.000000      | 0.000000      | EGYPT          | LFwdGCTUYDenZGoA9                        | 14-613-651-2263 | he regular pinto beans. courts cajole carefully according to the blithely even theodolites. quickly
       700 | Customer#000000700 | 0.000000      | 0.000000      | ALGERIA        | zyWvi,SGc,tXTls                          | 10-351-119-7514 |  bold excuses. furiously even asymptotes across the carefully regular dugouts cajole fur
       701 | Customer#000000701 | 0.000000      | 0.000000      | BRAZIL         | yQU8LcjocNHkk1hse30M0U1f46MrU6dB         | 12-323-784-5793 | c packages. blithely final instructions according to the regular pinto beans
       703 | Customer#000000703 | 0.000000      | 0.000000      | FRANCE         | ge1GEYt4ewGUiSeqBA4rNB5JhyQ92uKF         | 16-741-513-6919 | arefully final accounts cajole quickly blith
       706 | Customer#000000706 | 0.000000      | 0.000000      | ROMANIA        | ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi   | 29-468-275-6045 | ses cajole furiously after the ironic requests. pinto beans sleep busi
       712 | Customer#000000712 | 0.000000      | 0.000000      | FRANCE         |  8w2pIiA4wWAhtjAdXR                      | 16-843-486-5087 |  express dependencies use fluffily final platelets. furiously regular accounts wake furiously. carefully careful cou
       719 | Customer#000000719 | 0.000000      | 0.000000      | MOROCCO        | wry Gj3xd8QX ylUCulG                     | 25-498-699-7824 | gly express pinto beans sleep furiously around the quick foxes.
